CustomerID,Name,Age,Education,Marital_Status,Gender,Income,Kid_Younger6,Children_6to18,Time_Adherence,Recency,MntMeatFish,MntEntries,MntVeganVegetarian,MntDrinks,MntDesserts,MntAdditionalRequests,NumOfferPurchases,NumAppPurchases,NumTakeAwayPurchases,NumStorePurchases,NumAppVisitsMonth,Complain,Response_Cmp1,Response_Cmp2,Response_Cmp3,Response_Cmp4,Response_Cmp5
30651,Mr. Trevor Ferguson,37,Graduation,Married,Male,46575,0,0,34,71.0,30,0,60,60.0,140,11,1,3,1,2,7,0,0,0,0,0,0
6222,Mr. Peter Gray,51,PhD,Together,Male,48852,1,0,35,34.0,130,0,60,0.0,0,2,1,3,1,2,8,0,0,0,0,0,0
3909,Mrs. Theresa Wallace,63,Graduation,Married,Female,91345,0,1,44,75.0,4160,380,2730,380.0,380,6,3,9,3,10,6,0,0,0,0,0,0
20121,Miss Lillian Alsop,47,Graduation,Together,Female,102522,0,1,42,95.0,3120,420,3090,1560.0,1840,149,3,9,4,10,5,0,0,0,0,0,0
19896,Miss Lillian Dowd,63,Master,Together,Female,38770,0,0,49,46.0,30,20,150,40.0,40,5,1,3,1,2,9,0,0,0,0,0,0
8769,Mr. Isaac Martin,56,Master,Married,Male,60661,0,1,44,85.0,2550,0,675,0.0,60,6,6,8,3,4,8,0,0,0,0,0,0
4083,Miss Hannah Rampling,54,Basic,Single,Female,45174,0,1,50,23.0,80,80,75,220.0,40,11,2,3,1,3,7,0,0,0,0,0,0
16590,Mr. Blake Buckland,50,PhD,Married,Male,69035,0,0,50,61.0,5920,120,570,120.0,0,0,3,9,6,7,6,0,0,0,0,0,0
15957,Mr. Frank Rampling,54,Master,Married,Male,121690,0,0,40,66.0,10220,300,5265,1900.0,2540,15,1,7,4,6,2,0,0,0,0,0,1
8013,Mr. Simon Peake,49,Graduation,Married,Male,54624,1,1,44,90.0,180,40,150,0.0,0,25,1,3,2,2,7,0,0,1,0,0,0
13527,Mr. Jacob Sharp,39,Graduation,Married,Male,84891,1,0,45,35.0,4980,140,2880,140.0,140,28,3,9,3,11,5,0,0,0,0,0,0
7209,Miss Dorothy May,52,Graduation,Single,Female,71469,1,1,40,66.0,110,0,90,0.0,0,1,1,3,1,2,6,0,0,0,0,0,0
30075,Mr. Edward Martin,41,Master,Widow,Male,99611,0,0,35,95.0,2650,1300,1860,1400.0,1300,11,1,5,5,11,1,0,0,0,0,0,0
26169,Mr. Liam Murray,29,Basic,Married,Male,37718,1,0,46,4.0,10,280,90,200.0,260,13,2,4,1,3,8,0,0,0,0,0,0
8367,Miss Angela Alsop,55,Graduation,Together,Female,57399,0,1,32,17.0,150,0,30,0.0,0,0,1,2,1,3,5,0,0,0,0,0,0
15696,Mr. Warren Oliver,60,Graduation,Widow,Male,64381,0,1,36,6.0,320,60,285,100.0,20,2,2,3,2,3,5,0,0,0,0,0,0
14673,Mr. Adam Burgess,59,Graduation,Married,Male,120101,1,1,44,42.0,5760,1840,5355,680.0,1840,80,4,5,3,12,5,0,0,0,0,0,0
14400,Mrs. Melanie Peters,58,Graduation,Divorced,Female,49068,1,1,32,58.0,70,60,150,120.0,20,7,2,3,1,3,7,0,0,0,0,0,0
4872,Mr. Oliver Thomson,38,Graduation,Single,Male,42546,2,0,36,19.0,60,120,225,140.0,100,2,2,4,1,3,6,0,0,0,0,0,0
14265,Miss Jennifer McDonald,52,PhD,Together,Female,57779,1,1,38,39.0,100,0,120,20.0,20,3,2,3,1,3,6,0,0,0,0,0,0
6438,Miss Alexandra Payne,58,PhD,Together,Female,100048,0,1,52,16.0,7280,2140,4035,404.0,800,67,3,9,5,9,3,0,0,0,0,0,0
19008,Mr. Robert Hardacre,66,Graduation,Married,Male,68450,1,1,51,96.0,4000,0,525,0.0,80,61,6,8,2,8,8,0,0,1,0,0,0
17358,Miss Molly Harris,31,Master,Single,Female,108165,0,0,51,48.0,4930,478,6555,3100.0,1680,29,1,9,6,9,3,0,0,0,0,0,0
14427,Miss Megan Dyer,47,PhD,Single,Female,78513,0,1,31,10.0,1470,80,840,40.0,80,36,3,6,2,5,5,0,0,0,0,0,0
31140,Mrs. Abigail Underwood,51,Master,Divorced,Female,69982,0,1,44,97.0,7660,0,735,0.0,0,90,4,12,3,10,8,0,1,0,0,0,0
24504,Mr. Christian Robertson,45,PhD,Married,Male,117157,0,1,40,43.0,12930,300,3825,300.0,620,63,1,5,5,7,5,0,0,0,1,1,0
20676,Mr. Victor Hill,57,Graduation,Married,Male,113006,0,1,40,60.0,13950,340,5085,0.0,700,71,2,11,6,13,8,0,0,0,1,0,0
8442,Mr. Max Harris,50,Graduation,Married,Male,68910,1,1,45,71.0,190,20,150,20.0,20,8,1,3,1,3,5,0,0,0,0,0,0
22623,Mr. Dominic Harris,49,PhD,Together,Male,43920,1,1,52,51.0,90,0,60,20.0,0,4,1,3,1,2,8,0,0,0,0,0,0
7362,Mrs. Rebecca Fraser,66,PhD,Married,Female,126334,0,0,52,41.0,3670,1620,1991,2040.0,3260,40,1,11,11,12,3,0,0,0,0,0,0
13932,Mr. Lucas Harris,38,HighSchool,Together,Male,63889,0,1,46,68.0,2060,160,960,160.0,100,82,5,6,3,6,6,0,0,0,0,0,0
8439,Mr. Gavin MacLeod,61,Graduation,Together,Male,85358,0,0,42,65.0,6550,960,4170,1680.0,2900,121,1,10,8,13,4,0,0,0,0,0,0
16593,Mr. Austin Gray,40,HighSchool,Single,Male,51902,1,0,45,20.0,60,80,105,60.0,60,8,1,3,1,3,7,0,0,0,0,0,0
32700,Mr. Piers Reid,31,Graduation,Married,Male,43421,1,0,37,20.0,190,0,150,40.0,20,17,1,3,2,2,7,0,0,1,0,0,0
6162,Miss Sophie Carr,26,HighSchool,Together,Female,22542,1,0,51,38.0,20,180,60,0.0,240,11,3,4,1,3,7,0,0,0,0,0,0
12048,Mrs. Samantha Newman,46,PhD,Married,Female,53498,1,0,52,0.0,2370,60,900,60.0,60,36,3,8,2,5,8,0,0,1,0,0,0
18309,Mr. Cameron Campbell,70,Graduation,Together,Male,96473,0,0,36,87.0,5650,640,6525,420.0,640,54,1,4,9,6,1,0,0,0,0,0,0
30828,Mrs. Rose Ellison,40,PhD,Married,Female,93059,0,1,39,28.0,6530,0,840,0.0,0,99,3,9,3,11,5,0,0,0,1,0,0
21909,Mr. Luke Wright,29,Graduation,Together,Male,111473,0,0,46,72.0,9830,400,5835,3680.0,982,40,1,5,6,13,6,0,0,0,0,0,1
19521,Miss Heather Arnold,37,Master,Together,Female,64472,1,0,40,61.0,320,40,480,100.0,20,11,2,4,2,3,5,0,0,0,0,0,0
25674,Miss Anne Russell,44,PhD,Single,Female,66699,1,1,37,51.0,290,40,435,20.0,20,31,3,4,2,3,5,0,0,0,0,0,0
13950,Miss Anne Hamilton,42,Master,Together,Female,102873,0,0,50,48.0,5020,1180,12180,580.0,1460,14,1,7,12,6,2,0,0,0,0,0,0
21453,Mr. Alexander Henderson,54,PhD,Married,Male,94825,0,1,38,62.0,2840,60,1260,60.0,140,30,1,9,3,5,7,0,0,0,0,0,0
13530,Miss Chloe Cornish,44,PhD,Together,Female,103610,0,0,50,66.0,12180,2140,4560,340.0,2860,33,1,7,9,4,6,0,0,0,0,0,0
22011,Miss Virginia Burgess,35,Master,Single,Female,31175,1,0,35,56.0,290,0,375,20.0,40,3,4,4,2,4,4,0,0,0,0,0,0
23454,Mr. Alexander Jackson,37,Graduation,Married,Male,58101,1,0,45,62.0,280,600,1260,940.0,500,168,2,6,4,3,7,0,0,1,0,0,0
16521,Mr. Oliver Alsop,63,Graduation,Together,Male,88695,0,2,44,25.0,2650,3980,4545,3600.0,180,170,7,12,3,12,7,0,0,0,0,0,0
17292,Mr. Adam Blake,32,HighSchool,Single,Male,55497,1,0,41,20.0,410,460,975,20.0,320,29,3,6,1,4,8,0,0,0,0,0,0
7683,Miss Gabrielle Mackenzie,57,Graduation,Together,Female,46169,0,1,36,17.0,130,0,30,0.0,0,1,1,3,1,2,7,0,0,0,0,0,0
27834,Mr. Thomas Avery,37,Graduation,Married,Male,91972,0,1,33,6.0,1930,200,615,40.0,200,7,1,6,2,6,5,0,0,0,0,0,0
7188,Mrs. Jennifer Lawrence,38,Graduation,Divorced,Female,121371,0,0,48,9.0,4590,764,6015,764.0,612,210,1,8,7,7,2,0,0,0,0,1,0
28794,Mr. Stewart Slater,45,Graduation,Married,Male,111380,0,1,51,80.0,7050,600,3675,734.0,3660,91,3,13,9,4,5,0,0,0,0,0,0
13851,Mr. Neil Alsop,47,Master,Together,Male,113620,0,1,37,11.0,5650,180,4740,0.0,1340,47,1,7,4,6,2,0,0,0,0,0,0
24456,Mr. Dylan Thomson,71,Master,Widow,Male,125575,0,0,44,4.0,6610,1420,11535,2140.0,3560,35,1,9,7,4,4,0,0,0,0,1,1
13605,Mr. Max Coleman,64,Graduation,Single,Male,124379,0,0,46,80.0,7280,422,1692,3760.0,1880,235,1,6,12,11,2,0,0,0,0,1,1
32082,Mr. Adrian Russell,33,Master,Married,Male,49766,2,0,31,35.0,110,60,525,100.0,80,15,2,5,1,3,6,0,0,0,0,0,0
24261,Miss Lauren Wallace,56,PhD,Together,Female,95417,0,1,48,93.0,5300,280,2460,140.0,140,7,1,7,6,10,5,0,0,0,0,0,0
7104,Miss Kimberly Ross,41,Graduation,Single,Female,57985,1,0,35,51.0,170,120,285,280.0,140,16,1,4,1,3,6,0,0,0,0,0,0
4587,Mrs. Elizabeth Hart,53,PhD,Married,Female,90159,1,1,46,66.0,6100,140,1935,0.0,140,53,9,13,3,8,8,0,0,0,1,0,0
14376,Miss Sarah McDonald,52,Master,Together,Female,80865,0,1,43,2.0,2320,1840,1305,580.0,960,14,5,6,3,10,5,0,0,0,0,0,0
19113,Mr. Eric Grant,47,Graduation,Married,Male,115289,0,0,37,82.0,10320,1660,6990,320.0,1660,16,0,7,11,10,2,0,1,0,1,1,1
26295,Miss Natalie Coleman,29,Graduation,Single,Female,56198,1,0,44,43.0,190,40,540,120.0,180,22,1,4,2,3,6,0,0,0,0,0,0
12687,Mrs. Samantha Taylor,38,HighSchool,Married,Female,85875,0,1,37,38.0,1220,1220,1365,1740.0,1480,117,3,6,4,8,4,0,0,0,0,0,0
29028,Mr. Ian Lawrence,41,Master,Married,Male,81551,1,0,31,94.0,3150,80,1545,80.0,80,38,4,8,4,6,6,0,0,0,1,0,0
13191,Miss Dorothy Hamilton,66,Graduation,Single,Female,67081,0,0,37,43.0,2300,200,1200,540.0,60,17,1,6,2,8,5,0,0,0,0,0,0
9183,Mr. Liam Cornish,43,Graduation,Divorced,Male,24242,1,0,33,23.0,30,0,75,200.0,0,1,1,3,1,3,6,0,0,0,0,0,0
30153,Mr. Thomas Hill,48,Master,Married,Male,98709,0,1,40,38.0,9890,0,1830,960.0,1220,36,3,12,7,12,6,0,0,0,1,0,0
29238,Mrs. Rose Taylor,41,Graduation,Divorced,Female,50778,1,0,51,51.0,90,720,630,920.0,320,39,4,6,1,4,7,0,0,0,0,0,0
